mmusculus,hsapiens
Alx4,ALX4
Arg1,ARG1
Bmp4,BMP4
Calm1,CALM1
Ccnd1,CCND1
Cd24a,CD24
Clmp,CLMP
Col23a1,COL23A1
Col3a1,COL3A1
Cped1,CPED1
Cst3,CST3
Cyth3,CYTH3
Dchs1,DCHS1
Ddr2,DDR2
Dixdc1,DIXDC1
Dll1,DLL1
Dll3,DLL3
Fabp5,FABP5
Farp1,FARP1
Fli1,FLI1
Foxc1,FOXC1
Foxc2,FOXC2
Foxf1,FOXF1
Frzb,FRZB
Gas1,GAS1
Hmga2,HMGA2
Kctd1,KCTD1
Kdr,KDR
Lum,LUM
Mrc2,MRC2
Mrpl34,MRPL34
Msgn1,MSGN1
Ncl,NCL
Nkd2,NKD2
Osr1,OSR1
Pcdh19,PCDH19
Pcolce,PCOLCE
Prdm6,PRDM6
Prrx2,PRRX2
Rai14,RAI14
Rbms1,RBMS1
Rnf213,RNF213
S1pr2,S1PR2
Sct,SCT
Sh3bp5,SH3BP5
Slc25a4,SLC25A4
Stambpl1,STAMBPL1
Tbx2,TBX2
Tbx6,TBX6
Tns1,TNS1
Top2a,TOP2A
Tpm1,TPM1
Vasn,VASN
